submission_id,trial_number,scenario,predicate,sentence_frame,RT,response
1821,2,move,heavy,bare,3712,distributive
1821,3,move,big,each,1947,distributive
1821,4,move,heavy,each,2718,distributive
1821,5,move,big,together,2783,distributive
1821,6,move,tall,each,3549,distributive
1821,7,move,tall,bare,1732,collective
1821,8,move,tall,together,2098,collective
1821,9,move,big,bare,1983,distributive
1819,1,inspect,big,together,10418,collective
1819,2,inspect,big,each,1945,distributive
1819,3,inspect,big,bare,2872,distributive
1819,4,inspect,heavy,each,6347,distributive
1819,5,inspect,tall,together,1464,collective
1819,6,inspect,tall,each,1708,distributive
1819,7,inspect,heavy,together,1693,collective
1819,8,inspect,heavy,bare,3130,distributive
1819,9,inspect,tall,bare,1600,distributive
1818,1,inspect,tall,together,13681,collective
1818,2,inspect,heavy,together,8785,distributive
1818,3,inspect,big,together,5637,distributive
1818,4,inspect,heavy,each,3021,distributive
1818,5,inspect,tall,each,1875,distributive
1818,6,inspect,big,bare,2762,distributive
1818,7,inspect,tall,bare,1608,collective
1818,8,inspect,big,each,2224,distributive
1818,9,inspect,heavy,bare,3084,distributive
1817,1,inspect,heavy,bare,10449,collective
1817,2,inspect,big,each,2693,collective
1817,3,inspect,tall,each,2638,collective
1817,4,inspect,tall,together,2086,collective
1817,5,inspect,heavy,together,4823,collective
1817,6,inspect,tall,bare,2158,collective
1817,7,inspect,big,together,2182,collective
1817,8,inspect,big,bare,942,collective
1817,9,inspect,heavy,each,3038,collective
1816,1,move,heavy,each,11220,distributive
1816,2,move,big,together,3861,collective
1816,3,move,heavy,bare,3941,distributive
1816,4,move,tall,each,3067,collective
1816,5,move,heavy,together,5385,distributive
1816,6,move,tall,bare,2158,collective
1816,7,move,big,bare,2395,distributive
1816,8,move,big,each,3331,distributive
1816,9,move,tall,together,3868,collective
1815,1,move,tall,each,6394,distributive
1815,2,move,big,bare,9840,distributive
1815,3,move,heavy,bare,10401,distributive
1815,4,move,tall,together,3017,collective
1815,5,move,big,each,3847,distributive
1815,6,move,big,together,7579,collective
1815,7,move,heavy,together,3977,collective
1815,8,move,heavy,each,2043,distributive
1815,9,move,tall,bare,3996,distributive
1814,1,inspect,big,each,14359,collective
1814,2,inspect,heavy,together,12493,collective
1814,3,inspect,heavy,bare,4791,collective
1814,4,inspect,tall,each,3306,collective
1814,5,inspect,big,together,2131,collective
1814,6,inspect,heavy,each,2180,collective
1814,7,inspect,tall,together,3108,collective
